,Japan 2025,Japan 2024,Japan 2023,Japan 2022
1st,Pompompurin,cinnamoroll,cinnamoroll,cinnamoroll
,Cinnamoroll,pochacco,pompompurin,pompompurin
,Pochacco,kuromi,kuromi,kuromi
,Kuromi,pompompurin,Pochacco,pochacco
,HK,HK,HK,my melody
,My Melody,my melody,my meoldy,HK
,Little Twin Stars,kerokerokeroppi,hangydon,little twin stars
,Hangydon,hangydon,little twin stars,hangydon
,Tuxedosam,tuxedo sam,tuxedosam,cogimyun
,Aruhinopekkle,little twin stars,bad badtz-maru,tuxedosam
,bad badtz-maru,aruihinopekkle,cogimyun,kerokerokeroppi
,hanamaruobake,cogimyun,kerokerokeroppi,bad badtz-maru
,cogimyun,bad badtz-maru,gudetama,wishmewell
,kerokerokeroppi,hanamaruobake,Jochum,show by rock!
,wishmewell ,wishmewell,wishmewell,gudetama
,gudetama,gudetama,aruhinopekkle,aruhinopekkle
,usahana,my sweet piano,kirimichan,yoshikitty
,my sweet piano,kirimichan,my sweet piano,my sweet piano
,gaopowerroo,corocorokuririn,show by rock!,kirimichan
,corocorokuririn,usahana,corocorokuririn,corocorokuririn
,kirimichan,gaopowerroo,yoshikitty,marumofubiyori
,marumofubiyori,show by rock!,marumofubiyori,marroncream
,marroncream,marumofubiyori,usahana,usahana
,chococat,marroncream,gaopowerroo,dear daniel
,show by rock!,kabukinyantaro,kabukinyantaro,lloromannic
,charmmykitty,yoshikitty,marroncream,kabukinyantaro
,kubukiyantaro,minnanotabo,minnanotabo,hello mimmy
,yoshikitty,dear daniel,lloromannic,minnanotabo
,hello mimmy,charmmykitty,dear daniel,charmmykitty
,sugarbunnies,pokkyokuten,charmmykitty,jewelpet
,dear daniel,bonbonribbon,hello mimmy,littleforestfellow
,lloromannic,lloromannic,jewelpet,mewkledreamy
,minnanitabo,hello mimmy,sugarbunnies,sugarbunnies
,pokkyokuten,sugarbunnies,maimaimaigoen,nyaninyunyenyon
,adorozatorumary,maimaimaigoen,nyaninyunyenyon,
,aggretsuko,jewelpet,goropikadon,
,bonbonribbon,petapetaminilan,aggretsuko,
,nyaninyunyenyon,nyaninyunyenyon,osarunomonkichi,
,jewelpet,littleforestfellow,bonbonribbon,
,tiny chum,tiny chum,littleforestfellow,
,marshmallowmitainafuwahuwanayanko,cheery chums,patty&jimmy,
,littleforestfellow,patty&jimmy,cheery chums,
,osarunomonkichi,osarunomonkichi,pokkyokuten,
,patty&jimmy,hagurumanstyle,tiny chum,
,cheery chums,aggretsuko,hanguruman styke,
,petepetaminilian,chococat,mewkledreamy,
,maimaimaigoen,goropikadon,patapatapeppy,
,paupipo,adorozatorumary,beatcats,
,goropikadon,patapatapeppy,marshmallowmitainafuwahuwanayanko,
,patapatapeppy,mewkledreamy,paupipo,
,mewkledreamy,buddyeddy,zashikibuta,
,norenekoland,marshmallowmitainafuwahuwanayanko,adorozarorumary,
,hagurumanstyle,ichigoman,umeya zakkaten,
,swettcoron,beatcats,freshpunch,
,hummingmint,kashiwankomochi,rilu rily fairilu,
,beatcats,paupipo,chococat,
,strawberryking,freshpunch,kashiwankomochi,
,zashikibuta,rilu rilu fairilu,pankunchi,
,freshpunch,strawberryking,strawberryking,
,puwawa,zashikibuta,noranekoland,
,mellotune,hummingmint,hummingmint,
,kashiwankomochi,caribadix,ichigoman,
,caribadix,pankunchi,caribadix,
,pankunchi,umeya zakkaten,pokopon's diary,
,sugarminuet,pokopon's diary,the vaudeville duo,
,cherinacherine,naranekoland,kusuri no fukuchan,
,pandapple,kumamilen,maimai,
,pokopon's diary,kusuri no fukutaro,bosanimal,
,ichigoman,sugarminuet,mellowtune,
,kumamilen,bosanimal,shinkaizoku,
,winkipinki,the vaudville duo,rururugakuen,
,rilu rilu fairilu,rururugakuen,tenorikuma,
,kusuri no fukutaro,we are dinosaurs!,winkipinki,
,the vaudeville duo,mellotune,puwawa,
,umeya zakkaten,shinkaizoku,kumamilen,
,tenorikuma,winkipinki,sugarminuet,
,taraiguma  no landry,taraiguma no landry,the runabouts,
,rururugakuen,the runabouts,risuru,
,shinkaizoku,tenorikuma,seve silly dwarfs,
,tiny poem,bunny & matty,tiny poem,
,nyokki & penne,nyokki & penne,taraiguma no landry,
,we are dinosaurs!,puwawa,nyokki & penne,
,bunny & matty,seven silly dwarfs,pannapitta,
,bosanimal,tiny poem,leosuke,
,buddyeddy,mr. bear's dream,button nose,
,the runabouts,pannapitta,sugarcreampuff,
,seven silly dwarfs,button nose,cherinacherine,
,risuru,risuru,dreamtalekubear,
,pannapitta,sportingbears,sportingbears,
,sportingbears,littlelovin,littlelovin,
