,Japan 2025,Japan 2024,Japan 2023,Japan 2022,Japan 2021,Japan 2020
1,Pompompurin,cinnamoroll,cinnamoroll,cinnamoroll,cinnamoroll,cinnamoroll
2,Cinnamoroll,pochacco,pompompurin,pompompurin,pompompurin,pompompurin
3,Pochacco,kuromi,kuromi,kuromi,pochacco,pochacco
4,Kuromi,pompompurin,Pochacco,pochacco,my melody,my melody
5,Hello Kitty,Hello Kitty,Hello Kitty,my melody,kuromi,Hello Kitty
6,My Melody,my melody,my meoldy,Hello Kitty,Hello Kitty,Yoshikitty
7,Little Twin Stars,kerokerokeroppi,hangydon,little twin stars,little twin stars,kuromi
8,Hangydon,hangydon,little twin stars,hangydon,show by rock!,showbyrock!
9,Tuxedosam,tuxedo sam,tuxedosam,cogimyun,tuxedosam,little twin stars
10,Aruhinopekkle,little twin stars,bad badtz-maru,tuxedosam,cogimyun,tuxedosam
11,bad badtz-maru,aruihinopekkle,cogimyun,kerokerokeroppi,yoshikitty,kerokerokeroppi
12,hanamaruobake,cogimyun,kerokerokeroppi,bad badtz-maru,wishmewell,gudetama
13,cogimyun,bad badtz-maru,gudetama,wishmewell,hangyodon,cogimyun
14,kerokerokeroppi,hanamaruobake,Jochum,show by rock!,bad badtz-maru,bad badtz-maru
15,wishmewell ,wishmewell,wishmewell,gudetama,kerokerokeroppi,hangyodon
16,gudetama,gudetama,aruhinopekkle,aruhinopekkle,gudetama,aruhinopekkle
17,usahana,my sweet piano,kirimichan,yoshikitty,aruhinopekkle,kirimichan
18,my sweet piano,kirimichan,my sweet piano,my sweet piano,my sweet piano,wishmewell
19,gaopowerroo,corocorokuririn,show by rock!,kirimichan,kirimichan,hello mimmy
20,corocorokuririn,usahana,corocorokuririn,corocorokuririn,corocorokuririn,my sweet piano
21,kirimichan,gaopowerroo,yoshikitty,marumofubiyori,marumfubiyori,marumfubiyori
22,marumofubiyori,show by rock!,marumofubiyori,marroncream,minnanotabo,corocorokuririn
23,marroncream,marumofubiyori,usahana,usahana,marroncream,caribadix
24,chococat,marroncream,gaopowerroo,dear daniel,usahana,marroncream
25,show by rock!,kabukinyantaro,kabukinyantaro,lloromannic,dear daniel,charmmykitty
26,charmmykitty,yoshikitty,marroncream,kabukinyantaro,mewkledreamy,usahana
27,kubukiyantaro,minnanotabo,minnanotabo,hello mimmy,hello mimmy,dear daniel
28,yoshikitty,dear daniel,lloromannic,minnanotabo,littleforestfellow,nyaninyunyenyon
29,hello mimmy,charmmykitty,dear daniel,charmmykitty,llorormannic,minnanotabo
30,sugarbunnies,pokkyokuten,charmmykitty,jewelpet,bonbonribbon,jewelpet
31,dear daniel,bonbonribbon,hello mimmy,littleforestfellow,charmmykitty,lloromannic
32,lloromannic,lloromannic,jewelpet,mewkledreamy,kabukinyantaro,bonbonribbon
33,minnanitabo,hello mimmy,sugarbunnies,sugarbunnies,jewelpet,osarunomonkichi
34,pokkyokuten,sugarbunnies,maimaimaigoen,nyaninyunyenyon,sugarbunnies,hagurumanstyle
35,adorozatorumary,maimaimaigoen,nyaninyunyenyon,bonbonribbon,ninyunyenyon,kabukinyantaro
36,aggretsuko,jewelpet,goropikadon,cheery chums,cheery chums,sugarbunnies
37,bonbonribbon,petapetaminilan,aggretsuko,patty&jimmy,fukuchan,littleforestfellow
38,nyaninyunyenyon,nyaninyunyenyon,osarunomonkichi,osarunomonkichi,aggretsuko,mewkledreamy
39,jewelpet,littleforestfellow,bonbonribbon,haguruman style,hagurumanstyle,patty&jimmy
40,tiny chum,tiny chum,littleforestfellow,aggretsuko,patty&jimmy,cheery chums
41,marshmallowmitainafuwahuwanayanko,cheery chums,patty&jimmy,tinychum,osarunomonkichi,tinychum
42,littleforestfellow,patty&jimmy,cheery chums,patapatapeppy,caribadix,marshmallowmitainafuwahuwanayanko
43,osarunomonkichi,osarunomonkichi,pokkyokuten,paupipo,goropikadon,goropikadon
44,patty&jimmy,hagurumanstyle,tiny chum,marshmallowmitainafuwahuwanayanko,marshmallowmitainafuwahuwanayanko,rilu rilu fairilu
45,cheery chums,aggretsuko,hanguruman styke,goropikadon,rilu rilu fairilu,aggretsuko
46,petepetaminilian,chococat,mewkledreamy,beatcats,tinychum,paupido
47,maimaimaigoen,goropikadon,patapatapeppy,fukuchan,patapatapeppy,shinkansen
48,paupipo,adorozatorumary,beatcats,rilu rilu fairilu,paupipo,maimai
49,goropikadon,patapatapeppy,marshmallowmitainafuwahuwanayanko,caribadix ,sugarminuet,pankunchi
50,patapatapeppy,mewkledreamy,paupipo,zashikibuta,zashikibuta,patapatapeppy
51,mewkledreamy,buddyeddy,zashikibuta,strawberryking,maimai,the runabouts
52,norenekoland,marshmallowmitainafuwahuwanayanko,adorozarorumary,freshpunch,beatcats,zashikibuta
53,hagurumanstyle,ichigoman,umeya zakkaten,ichigioman,hummingmint,warahibi!
54,swettcoron,beatcats,freshpunch,kashiwankomochi,ichigoman,ichigoman
55,hummingmint,kashiwankomochi,rilu rily fairilu,pankunchi,kashiwankomochi,hummingmint
56,beatcats,paupipo,chococat,shinkansen,strawberryking,freshpunch
57,strawberryking,freshpunch,kashiwankomochi,maimaimaigoen,shinkansen,kashiwankomochi
58,zashikibuta,rilu rilu fairilu,pankunchi,pokopon's diary,freshpunch,pokopon's diary
59,freshpunch,strawberryking,strawberryking,maimai ,pankunchi,sugarminuet
60,puwawa,zashikibuta,noranekoland,chococat,noranekoland,strawberryking
61,mellotune,hummingmint,hummingmint,hummingmint,chibimaru,umeya zakkaten
62,kashiwankomochi,caribadix,ichigoman,puwawa,winkipinki,the vaudeville duo
63,caribadix,pankunchi,caribadix,noranekoland,pokopon's diary,chococat
64,pankunchi,umeya zakkaten,pokopon's diary,umeya zakkaten,chococat,winkipinki
65,sugarminuet,pokopon's diary,the vaudeville duo,sugarminuet,the vaudeville duo,rurugakuen
66,cherinacherine,naranekoland,kusuri no fukuchan,shinkaizoku,leosuke,noranekoland
67,pandapple,kumamilen,maimai,the vaudeville duo,shinkaizoku,risuru
68,pokopon's diary,kusuri no fukutaro,bosanimal,sugarcreampuff,umeya zakkaten,seven silly dwarfs
69,ichigoman,sugarminuet,mellowtune,winkipinki,rururugaken,tiny poem
70,kumamilen,bosanimal,shinkaizoku,chibimaru,seven silly dwarfs,shinkaizoku
71,winkipinki,the vaudville duo,rururugakuen,leosuke,tiny poem,honeymomo
72,rilu rilu fairilu,rururugakuen,tenorikuma,rururugakuen,the runabouts,fukuchan
73,kusuri no fukutaro,we are dinosaurs!,winkipinki,bosanimal,we are dinosaurs!,chobot
74,the vaudeville duo,mellotune,puwawa,seven silly dwarfs,corochan,darkgrapeman
75,umeya zakkaten,shinkaizoku,kumamilen,pannapitta,risuru,mr.men little miss
76,tenorikuma,winkipinki,sugarminuet,the runabouts,pannapitta,pannapitta
77,taraiguma  no landry,taraiguma no landry,the runabouts,risuru,dremtalekubear,dreamtalekubear
78,rururugakuen,the runabouts,risuru,sportingbears,chobot,pinkylilroserioskypeace
79,shinkaizoku,tenorikuma,seve silly dwarfs,littlelovin,sportingbears,sportingbears
80,tiny poem,bunny & matty,tiny poem,dreamtalekubear,littlelovin,littlelovin
